skuId,specAttrs,price,discountPrice,canBookCount
6058289818300,银色斜纹&gt;四宫格50活页400黑色竖插卡位,22.00,22.00,100000
5339856361265,橙色&gt;9宫格50活页900黑色竖插卡位,32.00,32.00,99995
6058289818296,蓝色&gt;4格50页400透明竖插卡位,18.00,18.00,99957
5339856361216,黑色&gt;4格50页400透明竖插卡位,18.00,18.00,99472
5339856361276,蓝色斜纹&gt;9格50页900透明竖插卡位,28.00,28.00,99987
6058289818309,银色斜纹&gt;9格50页900透明竖插卡位,28.00,28.00,99981
6253542218505,白色&gt;四宫格50活页400黑色竖插卡位,22.00,22.00,1000
5339856361245,浅绿色&gt;九宫格50活页900黑色侧插卡位,33.00,33.00,100000
5339856361272,黑色&gt;9格50页900透明竖插卡位,28.00,28.00,99765
5339856361267,红色蜂巢纹&gt;9格50页900透明竖插卡位,28.00,28.00,100000
5339856361228,黄色&gt;四宫格50活页400黑色竖插卡位,22.00,22.00,99999
5339856361244,黑色&gt;九宫格50活页900黑色侧插卡位,33.00,33.00,99996
6058289818301,灰色&gt;九宫格50活页900黑色侧插卡位,33.00,33.00,100000
6058289818305,蓝色&gt;9宫格50活页900黑色竖插卡位,32.00,32.00,99984
6058289818302,蓝色&gt;九宫格50活页900黑色侧插卡位,33.00,33.00,100000
5339856361249,黑色斜纹&gt;九宫格50活页900黑色侧插卡位,33.00,33.00,99997
5339856361234,蓝色斜纹&gt;四宫格50活页400黑色竖插卡位,22.00,22.00,100000
6058289818297,银色斜纹&gt;4格50页400透明竖插卡位,18.00,18.00,99990
5339856361211,红色蜂巢纹&gt;4格50页400透明竖插卡位,18.00,18.00,99985
6058289818304,灰色&gt;9宫格50活页900黑色竖插卡位,32.00,32.00,100000
5339856361243,红色&gt;九宫格50活页900黑色侧插卡位,33.00,33.00,99999
6058289818295,灰色&gt;4格50页400透明竖插卡位,18.00,18.00,99963
5339856361237,橙色&gt;四宫格50活页400黑色竖插卡位,22.00,22.00,100000
5339856361270,黄色&gt;9格50页900透明竖插卡位,28.00,28.00,99986
5339856361221,黑色斜纹&gt;4格50页400透明竖插卡位,18.00,18.00,99897
5339856361219,紫色斜纹&gt;4格50页400透明竖插卡位,18.00,18.00,99984
5339856361257,红色&gt;9宫格50活页900黑色竖插卡位,32.00,32.00,99985
5339856361233,紫色斜纹&gt;四宫格50活页400黑色竖插卡位,22.00,22.00,100000
5339856361263,黑色斜纹&gt;9宫格50活页900黑色竖插卡位,32.00,32.00,99958
6058289818307,灰色&gt;9格50页900透明竖插卡位,28.00,28.00,99982
5339856361275,紫色斜纹&gt;9格50页900透明竖插卡位,28.00,28.00,99981
5339856361230,黑色&gt;四宫格50活页400黑色竖插卡位,22.00,22.00,99989
5339856361214,黄色&gt;4格50页400透明竖插卡位,18.00,18.00,99980
5339856361273,浅绿色&gt;9格50页900透明竖插卡位,28.00,28.00,99992
6253542218507,白色&gt;9宫格50活页900黑色竖插卡位,32.00,32.00,10000
5339856361258,黑色&gt;9宫格50活页900黑色竖插卡位,32.00,32.00,99965
5339856361220,蓝色斜纹&gt;4格50页400透明竖插卡位,18.00,18.00,99989
5339856361223,橙色&gt;4格50页400透明竖插卡位,18.00,18.00,99773
5339856361259,浅绿色&gt;9宫格50活页900黑色竖插卡位,32.00,32.00,99990
5339856361235,黑色斜纹&gt;四宫格50活页400黑色竖插卡位,22.00,22.00,99996
6253542218504,白色&gt;4格50页400透明竖插卡位,18.00,18.00,933
5339856361256,黄色&gt;9宫格50活页900黑色竖插卡位,32.00,32.00,99975
6058289818303,银色斜纹&gt;九宫格50活页900黑色侧插卡位,33.00,33.00,99997
5339856361250,黄色斜纹&gt;九宫格50活页900黑色侧插卡位,33.00,33.00,100000
6058289818308,蓝色&gt;9格50页900透明竖插卡位,28.00,28.00,99983
